Rochester,Monroe,Rochester,NY,14624,Northeast
Luverne,Crenshaw,Luverne,AL,36049,South
Hodges,Franklin,Hodges,AL,35571,South
Savoy,Champaign,Savoy,IL,61874,Midwest
Stet,Carroll,Stet,MO,64680,Midwest
Lyons,Toombs,Lyons,GA,30436,South
Kalida,Putnam,Kalida,OH,45853,Midwest
Hamilton,Jefferson,Hamilton,PA,15744,Northeast
Panama,Shelby,Panama,IA,51562,Midwest
Young America,Carver,Young America,MN,55558,Midwest
Bear Creek,Outagamie,Bear Creek,WI,54922,Midwest
Harleysville,Montgomery,Harleysville,PA,19441,Northeast
Reddick,Kankakee,Reddick,IL,60961,Midwest
Kreamer,Snyder,Kreamer,PA,17833,Northeast
Sublette,Haskell,Sublette,KS,67877,Midwest
Mesa,Maricopa,Mesa,AZ,85207,West
Brockway,Jefferson,Brockway,PA,15824,Northeast
Atlanta,Fulton,Atlanta,GA,30371,South
Washington,District of Columbia,Washington,DC,20242,South
Lake Itasca,Lake Itasca,Lake Itasca,MN,56460,Midwest
Montpelier,Blackford,Montpelier,IN,47359,Midwest
Jeddo,St. Clair,Jeddo,MI,48032,Midwest
Dallas,Barron,Dallas,WI,54733,Midwest
Reedley,Fresno,Reedley,CA,93654,West
Brandon,Hillsborough,Brandon,FL,33511,South
Hallsville,Ross,Hallsville,OH,45633,Midwest
Belvidere,Boone,Belvidere,IL,61008,Midwest
Dallas,Dallas,Dallas,TX,75363,South
Berwick,Warren,Berwick,IL,61417,Midwest
Vienna,Fairfax,Vienna,VA,22184,South
Lakewood,Cuyahoga,Lakewood,OH,44107,Midwest
Crockett,Wythe,Crockett,VA,24323,South
Genesee Depot,Waukesha,Genesee Depot,WI,53127,Midwest
Shasta Lake,Shasta,Shasta Lake,CA,96019,West
Lookout Mountain,Walker,Lookout Mountain,GA,30750,South
Sesser,Franklin,Sesser,IL,62884,Midwest
Sterling Heights,Macomb,Sterling Heights,MI,48312,Midwest
Hood,Madison,Hood,VA,22723,South
Oktaha,Muskogee,Oktaha,OK,74450,South
Briar,Ripley,Briar,MO,63931,Midwest
Orefield,Lehigh,Orefield,PA,18069,Northeast
Wells,Wells,Wells,KS,67488,Midwest
Bartlett,Cook,Bartlett,IL,60103,Midwest
Eldersville,Washington,Eldersville,PA,15036,Northeast
Reelsville,Putnam,Reelsville,IN,46171,Midwest
Perry Park,Owen,Perry Park,KY,40363,South
Ventura,Ventura,Ventura,CA,93003,West
Hershey,Dauphin,Hershey,PA,17033,Northeast
Aberdeen,Brown,Aberdeen,SD,57401,Midwest
Hawley,Clay,Hawley,MN,56549,Midwest
Redondo,King,Redondo,WA,98054,West
Godeffroy,Orange,Godeffroy,NY,12739,Northeast
Donnybrook,Ward,Donnybrook,ND,58734,Midwest
Portland,Chautauqua,Portland,NY,14769,Northeast
Ripplemead,Giles,Ripplemead,VA,24150,South
San Diego,San Diego,San Diego,CA,92126,West
Annandale,Fairfax,Annandale,VA,22003,South
Dallas,Dallas,Dallas,TX,75224,South
Orofino,Clearwater,Orofino,ID,83544,West
Mobile,Mobile,Mobile,AL,36685,South
Lowell,Marion,Lowell,FL,32663,South
Canton,Stark,Canton,OH,44750,Midwest
Niverville,Columbia,Niverville,NY,12130,Northeast
Davenport,Polk,Davenport,FL,33836,South
Mount Eaton,Wayne,Mount Eaton,OH,44659,Midwest
